"""""",variable,Model_avg
"""1""",987.0,0.125
"""2""",1833.0,0.125
"""3""",1608.0,0.125
"""4""",566.0,0.125
"""5""",672.0,0.125
"""6""",2390.0,0.125
"""7""",645.0,0.125
"""8""",1008.0,0.125
