"""""",variable,Model_avg
"""1""",13.0,0.125
"""2""",2.0,0.125
"""3""",6.0,0.125
"""4""",6.0,0.125
"""5""",6.0,0.125
"""6""",3.0,0.125
"""7""",5.0,0.125
"""8""",5.0,0.125
