"""""",variable,Model_avg
"""1""",331.0,0.1
"""2""",434.0,0.1
"""3""",233.0,0.1
"""4""",83.0,0.1
"""5""",383.0,0.1
"""6""",388.0,0.1
"""7""",135.0,0.1
"""8""",436.0,0.1
"""9""",346.0,0.1
"""10""",345.0,0.1
