"""""",variable,Model_avg
"""1""",201.0,0.16666666666666666
"""2""",152.0,0.16666666666666666
"""3""",160.0,0.16666666666666666
"""4""",143.0,0.16666666666666666
"""5""",157.0,0.16666666666666666
"""6""",141.0,0.16666666666666666
