"""""",variable,Model_avg
"""1""",97.0,0.16666666666666666
"""2""",83.0,0.16666666666666666
"""3""",51.0,0.16666666666666666
"""4""",41.0,0.16666666666666666
"""5""",32.0,0.16666666666666666
"""6""",39.0,0.16666666666666666
