"""""",variable,Model_avg
"""1""",18.0,0.1
"""2""",33.0,0.1
"""3""",21.0,0.1
"""4""",34.0,0.1
"""5""",45.0,0.1
"""6""",27.0,0.1
"""7""",25.0,0.1
"""8""",19.0,0.1
"""9""",24.0,0.1
"""10""",43.0,0.1
