"""""",variable,Model_avg
"""1""",8.0,0.1
"""2""",13.0,0.1
"""3""",0.0,0.1
"""4""",18.0,0.1
"""5""",47.0,0.1
"""6""",16.0,0.1
"""7""",3.0,0.1
"""8""",4.0,0.1
"""9""",5.0,0.1
"""10""",4.0,0.1
