"""""",variable,Model_avg
"""1""",53.0,0.16666666666666666
"""2""",59.0,0.16666666666666666
"""3""",53.0,0.16666666666666666
"""4""",60.0,0.16666666666666666
"""5""",53.0,0.16666666666666666
"""6""",53.0,0.16666666666666666
