"""""",variable,Model_avg
"""1""",14.0,0.125
"""2""",21.0,0.125
"""3""",38.0,0.125
"""4""",15.0,0.125
"""5""",0.0,0.125
"""6""",15.0,0.125
"""7""",0.0,0.125
"""8""",0.0,0.125
