"""""",variable,Model_avg
"""1""",81.0,0.1
"""2""",38.0,0.1
"""3""",64.0,0.1
"""4""",83.0,0.1
"""5""",56.0,0.1
"""6""",54.0,0.1
"""7""",67.0,0.1
"""8""",79.0,0.1
"""9""",67.0,0.1
"""10""",68.0,0.1
