"""""",variable,Model_avg
"""1""",58.0,0.125
"""2""",88.0,0.125
"""3""",53.0,0.125
"""4""",56.0,0.125
"""5""",100.0,0.125
"""6""",71.0,0.125
"""7""",154.0,0.125
"""8""",94.0,0.125
