"""""",variable,Model_avg
"""1""",32.0,0.16666666666666666
"""2""",39.0,0.16666666666666666
"""3""",30.0,0.16666666666666666
"""4""",43.0,0.16666666666666666
"""5""",39.0,0.16666666666666666
"""6""",35.0,0.16666666666666666
