"""""",variable,Model_avg
"""1""",1066.0,0.125
"""2""",1188.0,0.125
"""3""",1227.0,0.125
"""4""",2476.0,0.125
"""5""",1461.0,0.125
"""6""",925.0,0.125
"""7""",739.0,0.125
"""8""",1184.0,0.125
