"""""",variable,Model_avg
"""1""",204.0,0.1
"""2""",232.0,0.1
"""3""",233.0,0.1
"""4""",230.0,0.1
"""5""",202.0,0.1
"""6""",232.0,0.1
"""7""",233.0,0.1
"""8""",236.0,0.1
"""9""",232.0,0.1
"""10""",200.0,0.1
