"""""",variable,Model_avg
"""1""",5.0,0.1
"""2""",4.0,0.1
"""3""",3.0,0.1
"""4""",31.0,0.1
"""5""",1.0,0.1
"""6""",2.0,0.1
"""7""",2.0,0.1
"""8""",1.0,0.1
"""9""",2.0,0.1
"""10""",12.0,0.1
