"""""",variable,Model_avg
"""1""",6.0,0.1
"""2""",4.0,0.1
"""3""",4.0,0.1
"""4""",7.0,0.1
"""5""",4.0,0.1
"""6""",3.0,0.1
"""7""",4.0,0.1
"""8""",5.0,0.1
"""9""",1.0,0.1
"""10""",6.0,0.1
