"""""",variable,Model_avg
"""1""",63.0,0.125
"""2""",51.0,0.125
"""3""",69.0,0.125
"""4""",65.0,0.125
"""5""",54.0,0.125
"""6""",59.0,0.125
"""7""",52.0,0.125
"""8""",63.0,0.125
