"""""",variable,Model_avg
"""1""",0.0,0.1
"""2""",5.0,0.1
"""3""",1.0,0.1
"""4""",1.0,0.1
"""5""",1.0,0.1
"""6""",1.0,0.1
"""7""",2.0,0.1
"""8""",2.0,0.1
"""9""",2.0,0.1
"""10""",0.0,0.1
