"""""",variable,Model_avg
"""1""",50.0,0.1
"""2""",39.0,0.1
"""3""",39.0,0.1
"""4""",51.0,0.1
"""5""",56.0,0.1
"""6""",51.0,0.1
"""7""",46.0,0.1
"""8""",35.0,0.1
"""9""",45.0,0.1
"""10""",42.0,0.1
