"""""",variable,Model_avg
"""1""",54.0,0.125
"""2""",60.0,0.125
"""3""",-4.0,0.125
"""4""",81.0,0.125
"""5""",56.0,0.125
"""6""",101.0,0.125
"""7""",79.0,0.125
"""8""",77.0,0.125
