"""""",variable,Model_avg
"""1""",45.0,0.16666666666666666
"""2""",47.0,0.16666666666666666
"""3""",38.0,0.16666666666666666
"""4""",45.0,0.16666666666666666
"""5""",46.0,0.16666666666666666
"""6""",47.0,0.16666666666666666
