"""""",variable,Model_avg
"""1""",0.0,0.1
"""2""",1.0,0.1
"""3""",0.0,0.1
"""4""",0.0,0.1
"""5""",0.0,0.1
"""6""",1.0,0.1
"""7""",7.0,0.1
"""8""",13.0,0.1
"""9""",0.0,0.1
"""10""",1.0,0.1
