"""""",variable,Model_avg
"""1""",26.0,0.125
"""2""",22.0,0.125
"""3""",19.0,0.125
"""4""",32.0,0.125
"""5""",18.0,0.125
"""6""",17.0,0.125
"""7""",26.0,0.125
"""8""",20.0,0.125
