Age_GTS2004	d18O_adj	d18O_adj_5pt_average	temp_C
0.01001	2.69	2.718	5.84685336
0.01007	2.77	2.658	6.05969496
0.01007	2.77	2.864	5.33314944
0.01028	2.59	2.858	5.35414296
0.01056	3.5	2.846	5.39616024
0.0106	2.66	3.102	4.50853656
0.01092	2.71	3.23	4.071606
0.01094	4.05	3.1625	4.301446875
0.01101	NA	3.23	4.071606
0.01101	3.23	3.23	4.071606
0.01123	2.93	2.89	5.242294
0.01154	2.71	2.866	5.32615384
0.01155	2.69	2.8	5.5576
0.01188	2.77	2.794	5.57870104
0.01192	2.9	2.815	5.5048915
0.01192	2.9	2.895	5.2248435
0.01202	NA	3.11	4.481094
0.01202	3.01	3.225	4.0885875
0.01202	3.63	3.34	3.699784
0.01212	3.36	3.266	3.94954584
0.01212	3.36	3.37	3.598966
0.0122	2.97	3.35	3.66615
0.01237	3.53	3.33	3.733446
0.01237	3.53	3.224	4.09198464
0.01286	3.26	3.396	3.51179424
0.01288	2.83	3.31	3.800854
0.01299	3.83	3.278	3.90893976
0.01318	3.1	3.3	3.8346
0.01336	3.37	3.464	3.28470144
0.01336	3.37	3.328	3.74018176
0.01349	3.65	3.366	3.61239384
0.0135	3.15	3.362	3.62582616
0.01379	3.29	3.36	3.632544
0.01386	3.35	3.385	3.5486515
0.01402	NA	3.48	3.231456
0.01402	3.75	3.54	3.032424
0.01435	3.53	3.56	2.966304
0.01435	3.53	3.568	2.93988736
0.01436	3.43	3.498	3.17164056
0.01477	3.6	3.49	3.198214
0.01485	3.4	3.5275	3.073805875
0.01502	NA	3.68	2.571936
0.01502	3.68	3.6475	2.678345875
0.01502	4.04	3.7125	2.465821875
0.01523	3.47	3.702	2.50007256
0.01534	3.66	3.836	2.06528544
0.01534	3.66	3.762	2.30477016
0.01539	4.35	3.706	2.48702104
0.01545	3.67	3.696	2.51965824
0.01584	3.19	3.738	2.38277016
0.01591	3.61	3.784	2.23341184
0.01602	3.87	3.792	2.20749696
0.01602	4.58	3.922	1.78889176
0.0161	3.71	3.962	1.66104216
0.01632	3.84	3.95	1.69935
0.01633	3.81	3.778	2.25285976
0.01633	3.81	3.78	2.246376
0.01649	3.72	3.756	2.32425504
0.01663	3.72	3.768	2.28529536
0.01663	3.72	3.792	2.20749696
0.01678	3.87	3.81	2.149254
0.01697	3.93	3.84	2.052384
0.01702	NA	3.79	2.213974
0.01702	NA	4.043333333	1.40246288994485
0.01702	3.57	4.276666667	0.670916221188046
0.01713	4.63	4.2075	0.886177875000003
0.01713	4.63	4.182	0.965877359999999
0.01719	4	4.174	0.990918640000001
0.01741	4.08	3.974	1.62277464
0.01763	3.53	3.882	1.91718936
0.01763	3.63	3.952	1.69296256
0.01769	4.17	3.972	1.62914976
0.01776	4.35	4.078	1.29281176
0.01798	4.18	4.272	0.685397759999999
0.01802	4.06	4.358	0.419502960000004
0.01804	4.6	4.334	0.493497840000001
0.01804	4.6	4.342	0.468814960000003
0.01808	4.23	4.412	0.253604160000002
0.01828	4.22	4.344	0.462647039999999
0.01832	4.41	4.262	0.71645016
0.01849	4.26	4.338	0.481154159999999
0.01871	4.19	4.416	0.241347839999999
0.01876	4.61	4.382	0.345669360000003
0.01876	4.61	4.4125	0.252071875
0.01892	4.24	4.3725	0.374875875000002
0.01902	NA	4.255	0.738203500000002
0.01902	4.03	4.17	1.003446
0.01906	4.14	4.1625	1.026946875
0.0192	4.27	4.23	0.816006000000001
0.01934	4.21	4.324	0.524376640000001
0.01943	4.5	4.362	0.407186160000002
0.01943	4.5	4.35	0.444150000000001
0.01978	4.33	4.358	0.419502960000004
0.01979	4.21	4.294	0.617181040000002
0.01993	4.25	4.28	0.660576
0.02006	4.18	4.3	0.598600000000002
0.02011	4.43	4.278	0.666779760000001
0.02011	4.43	4.28	0.660576
0.0202	4.1	4.276	0.672984640000003
0.02034	4.26	4.238	0.791090159999999
0.02048	4.16	4.198	0.91584856
0.02062	4.24	4.27	0.691606000000003
0.02076	4.23	4.31	0.567654000000002
0.02078	4.46	4.294	0.617181040000002
0.02078	4.46	4.298	0.604792559999999
0.0209	4.08	4.315	0.5521915
0.02101	4.26	4.23	0.816006000000001
0.02103	NA	4.17	1.003446
0.0212	4.12	4.2	0.909600000000002
0.02132	4.22	4.1625	1.026946875
0.02147	4.2	4.222	0.840939759999999
0.02166	4.11	4.298	0.604792559999999
0.02178	4.46	4.354	0.43182424
0.02179	4.5	4.34	0.474984000000001
0.02179	4.5	4.3975	0.298070875
0.02187	4.13	4.33	0.505846
0.02203	NA	4.2725	0.683845875000002
0.02207	4.19	4.1525	1.058305875
0.02228	4.27	4.065	1.3338915
0.02275	4.02	4.072	1.31176576
0.02303	3.78	4.05	1.38135
0.02312	4.1	4.038	1.41936216
0.0233	4.08	4.046	1.39401624
0.02351	4.21	4.116	1.17300384
0.02372	4.06	4.122	1.15412376
0.0238	4.13	4.15	1.06615
0.0238	4.13	4.166	1.01597784
0.02392	4.22	4.138	1.10382616
0.02393	4.29	4.14	1.097544
0.02395	3.92	4.1525	1.058305875
0.02403	NA	4.17	1.003446
0.02413	4.18	4.17	1.003446
0.02502	4.29	4.253333333	0.743384889925248
0.02502	4.29	4.165	1.0191115
0.02503	NA	4.1375	1.105396875
0.02503	3.9	4.1075	1.199767875
0.02518	4.07	4.065	1.3338915
0.02539	4.17	4.096	1.23601024
0.02558	4.12	4.13	1.128966
0.0258	4.22	4.142	1.09126296
0.02597	4.07	4.138	1.10382616
0.02625	4.13	4.14	1.097544
0.02645	4.15	4.134	1.11639384
0.02663	4.13	4.102	1.21709656
0.02666	4.19	4.058	1.35603096
0.02678	3.91	4.052	1.37501856
0.02678	3.91	4.052	1.37501856
0.02679	4.12	4.0175	1.484392875
0.02688	4.13	4.06	1.349704
0.02703	NA	4.12	1.160416
0.02733	4.08	4.1325	1.121107875
0.02754	4.15	4.0925	1.247047875
0.02776	4.17	4.038	1.41936216
0.02793	3.97	4.044	1.40035104
0.02804	3.82	4.032	1.43838336
0.02821	4.11	4.004	1.52728224
0.0284	4.09	4.016	1.48915584
0.02856	4.03	4.058	1.35603096
0.02856	4.03	4.052	1.37501856
0.02862	4.03	4.054	1.36868824
